Date,Stock Name,sentiment_score,Open,High,Low,Close,Volume
2022-05-02,AAPL,0.38461538461538464,154.21124610323508,155.70699870242646,150.8260949299853,155.44131469726562,123055300
2022-05-02,AMZN,0.23809523809523808,122.4010009765625,124.66799926757812,118.375,124.5,148788000
2022-05-02,DIS,-1.0,110.34680968809448,112.27301849467302,109.65535475422128,112.1149673461914,14300700
2022-05-02,GOOGL,1.0,112.8653947099302,116.1899998094352,112.06422476007552,116.0282745361328,35534000
2022-05-02,INTC,1.0,40.85771590290056,42.0445712654592,40.66146159014891,42.01653289794922,45446500
2022-05-02,META,0.4444444444444444,200.2263324705438,210.8860997547867,200.0471841200379,210.13961791992188,49915300
2022-05-02,MSFT,0.23809523809523808,270.7065493914021,277.75423001648835,269.25413454359216,277.29608154296875,35151100
2022-05-02,NFLX,0.25,191.7100067138672,200.2100067138672,190.009994506836,199.4600067138672,14591600
2022-05-02,NIO,0.3333333333333333,16.530000686645508,17.5,16.399999618530273,17.5,56156200
2022-05-02,TSLA,0.4077669902912621,286.92333984375,302.1199951171875,282.6766662597656,300.9800109863281,75781500
2022-05-02,TSM,0.4,87.66017232373727,89.33755838583065,86.46609660059954,88.854248046875,8251900
2022-05-02,XPEV,-0.5,24.34000015258789,25.71999931335449,24.06999969482422,25.38999938964844,7735200
2022-05-02,ZS,0.0,201.3099975585937,208.5,200.009994506836,208.22999572753903,1267000
2022-05-03,AAPL,0.21428571428571427,155.6282627909498,158.14745572719883,153.8274556953841,156.9370574951172,88966500
2022-05-03,AMZN,0.07692307692307693,124.05349731445312,126.22049713134766,122.8249969482422,124.25350189208984,79134000
2022-05-03,BA,1.0,149.08999633789062,154.4499969482422,147.91000366210938,153.5800018310547,10149500
2022-05-03,COST,0.0,508.9712453550096,513.0718437672936,502.92122151971023,507.12744140625,2398000
2022-05-03,CRM,0.0,175.69110735226937,179.10663630761573,174.87694902234549,177.09107971191406,5047700
2022-05-03,DIS,1.0,112.65825858021265,113.42873908717414,111.31485396530265,112.16436004638672,11149500
2022-05-03,ENPH,1.0,168.1199951171875,177.00999450683594,166.00999450683594,174.52999877929688,2208400
2022-05-03,GOOGL,0.75,115.8764914727861,117.87842536696785,115.48237962518544,116.77569580078124,24968000
2022-05-03,INTC,0.0,41.85766903433543,42.51184183317421,41.33433008227342,42.10999298095703,40158400
2022-05-03,KO,0.0,58.23399576390285,58.43505238292333,57.27439325139878,57.64909744262695,21686300
2022-05-03,META,0.4,209.46279494721443,213.89191736014857,207.1138648873915,211.035385131836,41556300
2022-05-03,MSFT,0.07692307692307693,276.7989361292909,276.9646620672424,273.0850211320763,274.6739196777344,25978600
2022-05-03,NFLX,0.0,198.2899932861328,203.1999969482422,194.7700042724609,199.8699951171875,11839400
2022-05-03,NIO,0.8,17.290000915527344,17.84000015258789,16.950000762939453,17.530000686645508,44062200
2022-05-03,TSLA,0.4084507042253521,301.0599975585937,308.02667236328125,296.1966552734375,303.0833435058594,63709500
2022-05-03,TSM,0.4230769230769231,87.92550897246603,89.12906333248453,87.66963925297033,88.73103332519531,9511900
2022-05-04,AAPL,0.25,157.12403328379716,163.82544428980776,156.7205671988061,163.37278747558594,108256500
2022-05-04,AMZN,-0.0625,123.5999984741211,126.0,119.18299865722656,125.92849731445312,110746000
2022-05-04,CRM,0.5,178.43144711457836,184.656827846344,173.49680532035015,184.160385131836,7563100
2022-05-04,DIS,1.0,111.98656059547316,115.0190974087695,110.46535214821496,114.77214813232422,11488300
2022-05-04,ENPH,1.0,175.47999572753906,192.8999938964844,174.27999877929688,191.94000244140625,3644700
2022-05-04,GOOGL,0.0,116.47464340177528,122.26993450529204,114.5682532843944,121.67926025390624,49916000
2022-05-04,INTC,0.0,42.1099892524156,43.58654711881386,41.50254237193151,43.49309539794922,44625600
2022-05-04,META,0.36363636363636365,209.6618606437168,223.24783928231463,205.9891827378292,222.3620147705078,41375900
2022-05-04,MSFT,-0.0625,275.4634656066809,283.5444115470414,269.75126101959535,282.6671142578125,33599300
2022-05-04,NFLX,-0.25,197.6499938964844,204.3800048828125,191.009994506836,204.009994506836,12218800
2022-05-04,NIO,0.2,17.18000030517578,18.21999931335449,16.719999313354492,18.1299991607666,53869900
